,source_ip,time,status,size,referer,user_agent,resource
23,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/main.js
24,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/nivo-lightbox.js
25,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/intro.png
26,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/logo.png
27,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/business/business-img.png
28,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/showcase/01.jpg
29,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/showcase/02.jpg
30,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/showcase/05.jpg
31,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/showcase/04.jpg
32,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/showcase/03.jpg
33,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/testimonial/01.png
34,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/team/01.jpg
35,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/team/02.jpg
36,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/team/03.jpg
37,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/team/04.jpg
38,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/blog/01.jpg
39,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/blog/02.jpg
40,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/blog/03.jpg
41,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/contact/01.png
42,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/footer-logo.png
43,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/2.png
44,192.168.91.128,2022-09-30 05:40:39+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/2.png
45,192.168.91.128,2022-09-30 05:41:31+00:00,200,56875,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/
46,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/css/bootstrap.min.css
47,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/css/LineIcons.css
48,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/css/animate.css
49,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/css/magnific-popup.css
50,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/css/owl.carousel.css
51,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/css/owl.theme.css
52,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/css/nivo-lightbox.css
53,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/css/responsive.css
54,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/css/main.css
55,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/jquery-min.js
56,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/bootstrap.min.js
57,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/popper.min.js
58,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/owl.carousel.js
59,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/jquery.nav.js
60,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/scrolling-nav.js
61,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/logo.png
62,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/intro.png
63,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/jquery.easing.min.js
64,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/nivo-lightbox.js
65,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/jquery.magnific-popup.min.js
66,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/main.js
67,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/business/business-img.png
68,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/showcase/01.jpg
69,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/showcase/02.jpg
70,192.168.91.128,2022-09-30 05:41:32+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/showcase/03.jpg
