@timestamp,@version,agent.ephemeral_id,agent.id,agent.name,agent.type,agent.version,ecs.version,event.original,host.architecture,host.containerized,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.platform,host.os.type,host.os.version,log.file.path,log.offset,log.syslog.facility.code,log.syslog.facility.name,log.syslog.severity.code,log.syslog.severity.name,message,received_at,received_from,syslog_hostname,syslog_message,syslog_pid,syslog_program,syslog_timestamp,tags,type,_id,_index,_score
"Oct 25, 2022 @ 10:38:40.000",1,e837e082-b91f-49c1-97ef-a9111fb6dc4e,cbfc1550-5363-4252-b04b-451569789f3a,a11b98a391d6,filebeat,8.3.3,8.0.0,Oct 25 02:38:40 a11b98a391d6 su: pam_unix(su:session): session opened for user admin by newuser(uid=1000),x86_64,TRUE,a11b98a391d6,c98bf021738259b8beddfdc26356a497,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",a11b98a391d6,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,"2,079",1,user-level,5,notice,Oct 25 02:38:40 a11b98a391d6 su: pam_unix(su:session): session opened for user admin by newuser(uid=1000),"Oct 25, 2022 @ 10:38:41.502","{""hostname"":""a11b98a391d6"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""family"":""debian"",""type"":""linux"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""a11b98a391d6"",""id"":""c98bf021738259b8beddfdc26356a497"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",a11b98a391d6,pam_unix(su:session): session opened for user admin by newuser(uid=1000),-,su,1/10/2025 02:38,beats_input_codec_plain_applied,syslog,qaABDYQB7EfwgAYBpbfJ,filebeat-2022.10.25,-
"Oct 25, 2022 @ 10:38:40.000",1,e837e082-b91f-49c1-97ef-a9111fb6dc4e,cbfc1550-5363-4252-b04b-451569789f3a,a11b98a391d6,filebeat,8.3.3,8.0.0,Oct 25 02:38:40 a11b98a391d6 su: (to admin) newuser on pts/1,x86_64,TRUE,a11b98a391d6,c98bf021738259b8beddfdc26356a497,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",a11b98a391d6,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,"1,892",1,user-level,5,notice,Oct 25 02:38:40 a11b98a391d6 su: (to admin) newuser on pts/1,"Oct 25, 2022 @ 10:38:41.502","{""hostname"":""a11b98a391d6"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""family"":""debian"",""type"":""linux"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""a11b98a391d6"",""id"":""c98bf021738259b8beddfdc26356a497"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",a11b98a391d6,(to admin) newuser on pts/1,-,su,1/10/2025 02:38,beats_input_codec_plain_applied,syslog,qKABDYQB7EfwgAYBpbfJ,filebeat-2022.10.25,-
"Oct 25, 2022 @ 10:38:40.000",1,e837e082-b91f-49c1-97ef-a9111fb6dc4e,cbfc1550-5363-4252-b04b-451569789f3a,a11b98a391d6,filebeat,8.3.3,8.0.0,Oct 25 02:38:40 a11b98a391d6 su: pam_systemd(su:session): Failed to connect to system bus: No such file or directory,x86_64,TRUE,a11b98a391d6,c98bf021738259b8beddfdc26356a497,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",a11b98a391d6,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,"2,185",1,user-level,5,notice,Oct 25 02:38:40 a11b98a391d6 su: pam_systemd(su:session): Failed to connect to system bus: No such file or directory,"Oct 25, 2022 @ 10:38:41.502","{""hostname"":""a11b98a391d6"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""family"":""debian"",""type"":""linux"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""a11b98a391d6"",""id"":""c98bf021738259b8beddfdc26356a497"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",a11b98a391d6,pam_systemd(su:session): Failed to connect to system bus: No such file or directory,-,su,1/10/2025 02:38,beats_input_codec_plain_applied,syslog,q6ABDYQB7EfwgAYBpbfM,filebeat-2022.10.25,-
"Oct 25, 2022 @ 10:38:40.000",1,e837e082-b91f-49c1-97ef-a9111fb6dc4e,cbfc1550-5363-4252-b04b-451569789f3a,a11b98a391d6,filebeat,8.3.3,8.0.0,Oct 25 02:38:40 a11b98a391d6 su: pam_env(su:session): Unable to open env file: /etc/default/locale: No such file or directory,x86_64,TRUE,a11b98a391d6,c98bf021738259b8beddfdc26356a497,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",a11b98a391d6,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,"1,953",1,user-level,5,notice,Oct 25 02:38:40 a11b98a391d6 su: pam_env(su:session): Unable to open env file: /etc/default/locale: No such file or directory,"Oct 25, 2022 @ 10:38:41.502","{""hostname"":""a11b98a391d6"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""family"":""debian"",""type"":""linux"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""a11b98a391d6"",""id"":""c98bf021738259b8beddfdc26356a497"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",a11b98a391d6,pam_env(su:session): Unable to open env file: /etc/default/locale: No such file or directory,-,su,1/10/2025 02:38,beats_input_codec_plain_applied,syslog,raABDYQB7EfwgAYBpbfN,filebeat-2022.10.25,-
"Oct 25, 2022 @ 10:38:32.000",1,e837e082-b91f-49c1-97ef-a9111fb6dc4e,cbfc1550-5363-4252-b04b-451569789f3a,a11b98a391d6,filebeat,8.3.3,8.0.0,Oct 25 02:38:32 a11b98a391d6 sshd[284]: pam_systemd(sshd:session): Failed to connect to system bus: No such file or directory,x86_64,TRUE,a11b98a391d6,c98bf021738259b8beddfdc26356a497,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",a11b98a391d6,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,"1,631",1,user-level,5,notice,Oct 25 02:38:32 a11b98a391d6 sshd[284]: pam_systemd(sshd:session): Failed to connect to system bus: No such file or directory,"Oct 25, 2022 @ 10:38:41.502","{""hostname"":""a11b98a391d6"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""family"":""debian"",""type"":""linux"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""a11b98a391d6"",""id"":""c98bf021738259b8beddfdc26356a497"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",a11b98a391d6,pam_systemd(sshd:session): Failed to connect to system bus: No such file or directory,284,sshd,1/10/2025 02:38,beats_input_codec_plain_applied,syslog,pqABDYQB7EfwgAYBpbfJ,filebeat-2022.10.25,-
"Oct 25, 2022 @ 10:38:32.000",1,e837e082-b91f-49c1-97ef-a9111fb6dc4e,cbfc1550-5363-4252-b04b-451569789f3a,a11b98a391d6,filebeat,8.3.3,8.0.0,Oct 25 02:38:32 a11b98a391d6 sshd[284]: pam_env(sshd:session): Unable to open env file: /etc/default/locale: No such file or directory,x86_64,TRUE,a11b98a391d6,c98bf021738259b8beddfdc26356a497,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",a11b98a391d6,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,"1,757",1,user-level,5,notice,Oct 25 02:38:32 a11b98a391d6 sshd[284]: pam_env(sshd:session): Unable to open env file: /etc/default/locale: No such file or directory,"Oct 25, 2022 @ 10:38:41.502","{""hostname"":""a11b98a391d6"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""family"":""debian"",""type"":""linux"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""a11b98a391d6"",""id"":""c98bf021738259b8beddfdc26356a497"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",a11b98a391d6,pam_env(sshd:session): Unable to open env file: /etc/default/locale: No such file or directory,284,sshd,1/10/2025 02:38,beats_input_codec_plain_applied,syslog,qqABDYQB7EfwgAYBpbfM,filebeat-2022.10.25,-
"Oct 25, 2022 @ 10:38:32.000",1,e837e082-b91f-49c1-97ef-a9111fb6dc4e,cbfc1550-5363-4252-b04b-451569789f3a,a11b98a391d6,filebeat,8.3.3,8.0.0,Oct 25 02:38:32 a11b98a391d6 sshd[284]: pam_unix(sshd:session): session opened for user newuser by (uid=0),x86_64,TRUE,a11b98a391d6,c98bf021738259b8beddfdc26356a497,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",a11b98a391d6,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,"1,524",1,user-level,5,notice,Oct 25 02:38:32 a11b98a391d6 sshd[284]: pam_unix(sshd:session): session opened for user newuser by (uid=0),"Oct 25, 2022 @ 10:38:41.502","{""hostname"":""a11b98a391d6"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""family"":""debian"",""type"":""linux"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""a11b98a391d6"",""id"":""c98bf021738259b8beddfdc26356a497"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",a11b98a391d6,pam_unix(sshd:session): session opened for user newuser by (uid=0),284,sshd,1/10/2025 02:38,beats_input_codec_plain_applied,syslog,rKABDYQB7EfwgAYBpbfN,filebeat-2022.10.25,-
"Oct 25, 2022 @ 10:38:32.000",1,e837e082-b91f-49c1-97ef-a9111fb6dc4e,cbfc1550-5363-4252-b04b-451569789f3a,a11b98a391d6,filebeat,8.3.3,8.0.0,Oct 25 02:38:32 a11b98a391d6 sshd[284]: Accepted password for newuser from 192.168.34.11 port 45748 ssh2,x86_64,TRUE,a11b98a391d6,c98bf021738259b8beddfdc26356a497,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",a11b98a391d6,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,"1,419",1,user-level,5,notice,Oct 25 02:38:32 a11b98a391d6 sshd[284]: Accepted password for newuser from 192.168.34.11 port 45748 ssh2,"Oct 25, 2022 @ 10:38:41.502","{""hostname"":""a11b98a391d6"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""family"":""debian"",""type"":""linux"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""a11b98a391d6"",""id"":""c98bf021738259b8beddfdc26356a497"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",a11b98a391d6,Accepted password for newuser from 192.168.34.11 port 45748 ssh2,284,sshd,1/10/2025 02:38,beats_input_codec_plain_applied,syslog,p6ABDYQB7EfwgAYBpbfJ,filebeat-2022.10.25,-
