"@timestamp",message,"log.file.path","agent.hostname"
"Oct 26, 2022 @ 02:10:02.905","172.24.2.11 - - [25/Oct/2022:18:10:01 +0000] ""POST / HTTP/1.1"" 302 8977 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""","/var/log/apache2/access.log","Web_Server"
"Oct 26, 2022 @ 02:10:02.904","172.24.2.11 - - [25/Oct/2022:18:09:57 +0000] ""GET /nmaplowercheck1666721397 HTTP/1.1"" 404 466 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""","/var/log/apache2/access.log","Web_Server"
"Oct 26, 2022 @ 02:10:02.904","172.24.2.11 - - [25/Oct/2022:18:09:57 +0000] ""GET /robots.txt HTTP/1.1"" 404 466 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""","/var/log/apache2/access.log","Web_Server"
"Oct 26, 2022 @ 02:10:02.904","172.24.2.11 - - [25/Oct/2022:18:09:57 +0000] ""GET /HNAP1 HTTP/1.1"" 404 466 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""","/var/log/apache2/access.log","Web_Server"
"Oct 26, 2022 @ 02:10:02.904","172.24.2.11 - - [25/Oct/2022:18:09:58 +0000] ""GET /.git/HEAD HTTP/1.1"" 404 466 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""","/var/log/apache2/access.log","Web_Server"
"Oct 26, 2022 @ 02:10:02.904","172.24.2.11 - - [25/Oct/2022:18:09:57 +0000] ""PROPFIND / HTTP/1.1"" 302 8977 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""","/var/log/apache2/access.log","Web_Server"
"Oct 26, 2022 @ 02:10:02.904","172.24.2.11 - - [25/Oct/2022:18:09:57 +0000] ""PROPFIND / HTTP/1.1"" 302 8977 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""","/var/log/apache2/access.log","Web_Server"
"Oct 26, 2022 @ 02:10:02.904","172.24.2.11 - - [25/Oct/2022:18:09:57 +0000] ""POST / HTTP/1.1"" 302 8977 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""","/var/log/apache2/access.log","Web_Server"
"Oct 26, 2022 @ 02:10:02.904","172.24.2.11 - - [25/Oct/2022:18:09:58 +0000] ""GET /evox/about HTTP/1.1"" 404 466 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""","/var/log/apache2/access.log","Web_Server"
"Oct 26, 2022 @ 02:10:02.904","172.24.2.11 - - [25/Oct/2022:18:09:58 +0000] ""OPTIONS / HTTP/1.1"" 302 8977 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""","/var/log/apache2/access.log","Web_Server"
"Oct 26, 2022 @ 02:10:02.904","172.24.2.11 - - [25/Oct/2022:18:09:57 +0000] ""GET / HTTP/1.1"" 302 8977 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""","/var/log/apache2/access.log","Web_Server"
"Oct 26, 2022 @ 02:10:02.904","172.24.2.11 - - [25/Oct/2022:18:09:58 +0000] ""GET /login.php HTTP/1.1"" 200 3885 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""","/var/log/apache2/access.log","Web_Server"
"Oct 26, 2022 @ 02:10:02.903","172.24.2.11 - - [25/Oct/2022:18:09:55 +0000] ""GET / HTTP/1.0"" 302 8936 ""-"" ""-""","/var/log/apache2/access.log","Web_Server"
