"@timestamp",message,"agent.hostname","log.file.path"
"Oct 26, 2022 @ 02:53:48.097","192.168.1.7 - - [25/Oct/2022:18:53:46 +0000] ""GET /files/assets/images/auth/bg.jpg HTTP/1.1"" 404 493 ""http://192.168.1.213:8000/files/assets/css/style.css"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.097","192.168.1.7 - - [25/Oct/2022:18:53:40 +0000] ""GET /files/assets/css/style.css HTTP/1.1"" 200 68415 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.097","192.168.1.7 - - [25/Oct/2022:18:53:40 +0000] ""GET /files/bower_components/jquery-ui/js/jquery-ui.min.js HTTP/1.1"" 200 68448 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.097","192.168.1.7 - - [25/Oct/2022:18:53:41 +0000] ""GET /files/bower_components/jquery-i18next/js/jquery-i18next.min.js HTTP/1.1"" 200 1204 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.097","192.168.1.7 - - [25/Oct/2022:18:53:40 +0000] ""GET /files/bower_components/jquery/js/jquery.min.js HTTP/1.1"" 200 30491 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.097","192.168.1.7 - - [25/Oct/2022:18:53:41 +0000] ""GET /files/bower_components/bootstrap/js/bootstrap.min.js HTTP/1.1"" 200 13332 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.097","192.168.1.7 - - [25/Oct/2022:18:53:41 +0000] ""GET /uploadImage/Logo/logo%20for%20hospital%20system.jpg HTTP/1.1"" 304 181 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.097","192.168.1.7 - - [25/Oct/2022:18:53:41 +0000] ""GET /files/assets/js/common-pages.js HTTP/1.1"" 200 478 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.097","192.168.1.7 - - [25/Oct/2022:18:53:41 +0000] ""GET /files/bower_components/jquery-slimscroll/js/jquery.slimscroll.js HTTP/1.1"" 200 2531 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.097","192.168.1.7 - - [25/Oct/2022:18:53:40 +0000] ""GET /files/bower_components/bootstrap/css/bootstrap.min.css HTTP/1.1"" 200 18947 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.096","192.168.1.7 - - [25/Oct/2022:18:53:40 +0000] ""GET /files/bower_components/popper.js/js/popper.min.js HTTP/1.1"" 200 7276 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.096","192.168.1.7 - - [25/Oct/2022:18:53:40 +0000] ""GET /files/assets/icon/icofont/css/icofont.css HTTP/1.1"" 200 17142 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.096","192.168.1.7 - - [25/Oct/2022:18:53:40 +0000] ""GET /files/bower_components/modernizr/js/modernizr.js HTTP/1.1"" 404 493 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.096","192.168.1.7 - - [25/Oct/2022:18:53:40 +0000] ""GET /files/bower_components/i18next/js/i18next.min.js HTTP/1.1"" 404 493 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.096","192.168.1.7 - - [25/Oct/2022:18:53:40 +0000] ""GET /files/bower_components/i18next-browser-languagedetector/js/i18nextBrowserLanguageDetector.min.js HTTP/1.1"" 404 493 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.096","192.168.1.7 - - [25/Oct/2022:18:53:40 +0000] ""GET /files/bower_components/i18next-xhr-backend/js/i18nextXHRBackend.min.js HTTP/1.1"" 404 493 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.096","192.168.1.7 - - [25/Oct/2022:18:53:40 +0000] ""GET /popup_style.css HTTP/1.1"" 200 1809 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.096","192.168.1.7 - - [25/Oct/2022:18:53:40 +0000] ""GET /files/bower_components/modernizr/js/css-scrollbars.js HTTP/1.1"" 404 494 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.096","192.168.1.7 - - [25/Oct/2022:18:53:40 +0000] ""GET /files/assets/icon/themify-icons/themify-icons.css HTTP/1.1"" 200 3166 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:53:48.096","192.168.1.7 - - [25/Oct/2022:18:53:40 +0000] ""GET /login.php HTTP/1.1"" 200 1425 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:50:03.766","172.24.2.11 - - [25/Oct/2022:18:35:18 +0000] ""GET /uploadImage/Logo/shell.php HTTP/1.1"" 200 203 ""-"" ""python-requests/2.28.1""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:35:19.006","172.24.2.11 - - [25/Oct/2022:18:35:16 +0000] ""POST /manage_website.php HTTP/1.1"" 200 3358 ""-"" ""python-requests/2.28.1""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:35:19.006","172.24.2.11 - - [25/Oct/2022:18:35:15 +0000] ""GET /manage_website.php HTTP/1.1"" 200 3214 ""-"" ""python-requests/2.28.1""","Web_Server","/var/log/apache2/access.log"
"Oct 26, 2022 @ 02:35:19.006","172.24.2.11 - - [25/Oct/2022:18:35:15 +0000] ""POST /login.php HTTP/1.1"" 200 1692 ""-"" ""python-requests/2.28.1""","Web_Server","/var/log/apache2/access.log"
